City,Name,Nosah,Address
אשקלון,בני תורה,עדות המזרח,"שי עגנון 10 10
"
אשתאול,נצח ישראל,תימן שאמי,"נחל אדוריים 49
"
באר יעקב,אהל מיכאל-רשבי ,מרוקו,"רחוב חזון איש 4
"
באר יעקב,ברקת,עדות המזרח,"שכונת צמרות
"
באר שבע,אהבת חנה,עדות המזרח,"מקס ברוייד14
"
באר שבע,אור שלום,מרוקו,"רזיאל 7
"
באר שבע,אורות הזוהר,מרוקו,"חשין 13
"
באר שבע,אליהו הנביא זלט ( נוסח בגדד ),עדות המזרח,"השומר
"
בארי,שערי צדק,ספרד,"בארי 58
"
בית אל,אוהל חיים,עדות המזרח,"ארץ חמדה 22
"
בית אליעזר,בית יצחק,ספרד,"גדות  2
"
בית אליעזר,נצח ישראל,תימן,"התאנים 13
"
בית דגן,אוהל תורה,תימן בלדי,"טרומפלדור 14
"
בית דגן,אלי כהן,מרוקו,"הגפן 5
"
בית דגן,ברסלב,עדות המזרח,"קפלן 14
"
בית דגן,מנחת שלמה,תימן בלדי,"כצנלסון 16
"
בית שאן,היכל דוד ושלמה- חנוך לנער,ספרד,"שאול המלך 96
"
בית שאן,זוהר התורה,ספרד,"הלורד בלפור 26
"
בית שאן,ישראלי,ספרד,"אלי כהן 98
"
בית שאן,שערי דניאל - חידושי משה,עדות המזרח,"העלייה (שכון א) 8
"
בית שמש,אדרת אליהו,עדות המזרח,"קרן היסוד 4
"
בית שמש,אהבה ושמחה - קרליבך,ספרד,"נחל דולב 70
"
בית שמש,אור החמה,עדות המזרח,"המשלט 12
"
בית שמש,אחדות ישראל,עדות המזרח,"בר אילן  74
"
בית שמש,אש קודש,ספרד,"נחל מאוד  6
"
בית שמש,בית אסתר,עדות המזרח,"הנורית 39
"
ביתר עלית,אהל יוסף,עדות המזרח,"הבבא סאלי  20
"
ביתר עלית,חניכי הישיבות,עדות המזרח,"הרבי מנדבורנא 2
"
ביתר עלית,משכן הקדש,עדות המזרח,"אש קודש 6
"
ביתר עלית,נזר הנחל,עדות המזרח,"ר´ יוסף קארו 18
"
ביתר עלית,פאר הריבש-חניכי הישיבות,עדות המזרח,"ר´ יוסף קארו  2
"
ביתר עלית,שם משמעון,עדות המזרח,"ר´ אלעזר המודעי  21
"
בני ברק,בית יחיאל בנדיקט,ספרד,"סוקולוב 19
"
בני ברק,הוילה,ספרד,"מוהליבר  12
"
בני ברק,מצדה,ספרד,"אשל אברהם 13
"
בני ברק,אגודת עץ חיים,תימן,"אבוחצירה 39
"
בני ברק,אהלי אברהם,עדות המזרח,"נורוק   30
"
בני ברק,אוהל אברהם,עדות המזרח,"הירש 19
"
בני ברק,אוהל אברהם,ספרד,"הרב קוק 28
"
בני ברק,אוהל יצחק,מרוקו,"רבי עקיבא  66
"
בני ברק,אור יעקוב,עדות המזרח,"הירקון  50
"
בני ברק,אור ישראל,עדות המזרח,"יהושע בן נון 17
"
בני ברק,אורייתא,ספרד,"מנחם 25
"
בני ברק,אחדות,עדות המזרח,"אבן גבירול 18
"
בני ברק,אחווה ורעות,עדות המזרח,"אברבנאל 1
"
בני עיש,מקור חיים,תימן,"הרב יחיא אלקשמה  18
"
בנימינה,סוכת שלום (כתריאל),תימן שאמי,"הסחלב 25
"
בנימינה,שער הרחמים (ברדוגו),עדות המזרח,"דרך העצמאות 60
"
בנימינה,שערי צדק,תימן,"רקפת 17
"
בת ים,נחליאלי,ספרד,"פנקס  1
"
בת ים,רמות ים,ספרד,"בר אילן 27
"
בת ים,אברהם בינימין שעשוע,עדות המזרח,"הלפר 22
"
בת ים,אהבת ישראל,ספרד,"פנקס 2
"
בת ים,אוהל ששון,יוצאי לוב (טריפוליטאים),"החרמון 4
"
בת ים,אור החמה-היכל הקודש,עדות המזרח,"הנביאים 50
"
בת ים,אור חדש,עדות המזרח,"אנה פרנק 16
"
בת ים,אור ישראל,עדות המזרח,"גבעתי 6
"
בת ים,בית אל,יוצאי לוב (טריפוליטאים),"בן ציון ישראל 15
"
בת ים,בית יעקב,ספרד,"סמטת אופיר  6
"
בת ים,בית יעקב,ספרד,"סמטת הכרמל  4
"
גבעת זאב,הדר יוסף,ספרד,"רימון הדר הגבעה  1
"
גבעת זאב,כתר בנימין,עדות המזרח,"הלולב  5
"
גבעת שמואל,אהבת אחים,עדות המזרח,"נימרובר 2
"
גבעת שמואל,בית מדרש גבעת שמואל,עדות המזרח,"עוזי חיטמן 4
"
גבעת שמואל,בית מתתיהו,ספרד,"העבודה 1
"
גבעת שמואל,היכל רחמים,ספרד,"סמטת שי עגנון 6
"
גבעת שמואל,המרכזי,ספרד,"בר אילן 21
"
גבעת שמואל,הריף,מרוקו,"הרצל 4
"
גבעת שמואל,משה ואהרון,ספרד,"הרימון 13
"
גבעתים,אהבת ציון,תימן שאמי,"גונן 5
"
גבעתים,אוהל ש״מ- ספרדי,עדות המזרח,"פועלי הרכבת 4
"
גבעתים,בית אליהו,יוצאי לוב (טריפוליטאים),"רחוב גולומב  12
"
גבעתים,היכל משה - החדש,עדות המזרח,"טייבר  29
"
גבעתים,הרמה,ספרד,"גונן 3
"
גבעתים,מרדכי ואסתר,עדות המזרח,"כצנלסון 30
"
גבעתים,עין יעקב- בית הכנסת הגדול,ספרד,"שינקין 43
"
גבעתים,קהילת הצעירים,ספרד,"טיבר 65
"
גדרה,אהבת עולם,מרוקו,"האורן  7
"
גדרה,איש מצליח,תוניס,"דרך ארץ 1
"
גדרה,נוסח אחיד,ספרד,"פינס 2
"
גדרה,סיני,תימן,"נפתלי 2
"
גדרה,עץ חיים קטרה,תימן בלדי,"שבזי 1
"
גדרה,שערי ירושלים,תוניס,"ראובן 15
"
גדרה,שערי צדק,תימן בלדי,"יששכר 14
"
גינות שומרון,בית הכנסת המרכזי - היכל רפאל,ספרד,"השקמה 31
"
גמזו,אהל משה,עדות המזרח,"בית כנסת הספרדים 1
"
גן יבנה,נאות אשכול,עדות המזרח,"יהודה עמיחי 12
"
גן יבנה,נוה שלום,תימן בלדי,"אלי כהן 215
"
גן יבנה,תהלה לדוד ,מרוקו,"העצמאות  13
"
גן שמואל,מעל הזמן,עדות המזרח,"הנשיא  10
"
גני תקוה,אהבת אחים,ספרד,"עין חנוך 8
"
גני תקוה,ברכי נפשי,עדות המזרח,"עין חנוך 11
"
גני תקוה,מרכז תורני נוה שלום,עדות המזרח,"סמטת הר נבו 7
"
גני תקוה,מרכזי נוף סביון,ספרד,"עין חנוך 6
"
גני תקוה,משיבת נפש,עדות המזרח,"סמטת התבור 8
"
גני תקוה,צעירי ישראל,ספרד,"הגולן 70
"
גני תקוה,שלום ורעות,ספרד,"עין חנוך 13
"
גני תקוה,תורת חיים,מרוקו,"הרמה 5
"
דימונה,אביר יעקב דימונה,מרוקו,"כובשי אילת   14
"
דימונה,אליהו הנביא,עדות המזרח,"השומר  5
"
דימונה,בית דוד,מרוקו,"ההגנה 3
"
דימונה,זכור לאברהם,עדות המזרח,"היורה 6
"
הוד השרון,אור הנצח,עדות המזרח,"מעייני 7
"
הוד השרון,אור ישראל,ספרד,"משה שרת 37
"
הוד השרון,הצריף,ספרד,"הרשות 2
"
הוד השרון,הרמבם,תימן בלדי,"נצח ישראל  43
"
הוד השרון,זכרון משה,ספרד,"שמעון הצדיק 37
"
הוד השרון,מקדש מעט,עדות המזרח,"הגיבור 3
"
הוד השרון,עש פגי ירון זל,עדות המזרח,"המגן 30
"
הוד השרון,עץ חיים,תימן,"כנרת 6
"
הוד השרון,שער השמיים,תימן שאמי,"שמעון הצדיק 37
"
הרצליה,גאולת ישראל,עדות המזרח,"מולדת 14
"
הרצליה,אבי דוד,תימן בלדי,"מובשוביץ 12
"
הרצליה,אהבה ואחווה,ספרד,"כצלנסון 58
"
הרצליה,אוהל משה,ספרד,"בן אליעזר 33
"
הרצליה,אור לישראל,ספרד,"שחל 3
"
הרצליה,ארם נהריים,עדות המזרח,"י.ל.פרץ 30
"
הרצליה,בית דוד,תימן בלדי,"שרעבי  13
"
הרצליה,בית הלוי,תימן,"הפרטיזנים 32 - נווה עמל
"
הרצליה ב,בית יואל,ספרד,"פישמן 8
"
הרצליה ב,בית שירנה,ספרד,"מדינת היהודים 18
"
זכרון יעקב,אוהל רחל,מרוקו,"העליה 8
"
זכרון יעקב,היכל רפאל,עדות המזרח,"הנדיב 6
"
זכרון יעקב,מחנה ישראל,תימן,"תרעב 11
"
חבצלת השרון,הגואל,עדות המזרח,"דרך הזיתים 5
"
חדרה,אהבת רחמים,עדות המזרח,"הגיבורים 52
"
חדרה,אוהל יהודה ורחל,מרוקו,"השקמה 7
"
חדרה,בית הנשיא,ספרד,"הנשיא 82
"
חדרה,בית יצחק,ספרד,"גדות  2
"
חיבת ציון,רחוב הראשונים 22,ספרד,"דרור 1
"
חיפה, שערי צדק הגליל,ספרד,"חסן שוקרי 18 - הדר
"
חיפה,אבות ובנים,ספרד,"קלר 6
"
חיפה,אביר יעקוב,ספרד,"ערד  9
"
חיפה,אהבת ישראל,עדות המזרח,"הרותם 1
"
חיפה,אוהב ישראל,ספרד," עבס 14
"
חיפה,אוהל ברכה,ספרד,"שימקין 17
"
חיפה,אליהו הנביא,ספרד,"סיני 16
"
חיפה,אליהו הנביא,ספרד,"סטרומה 5
"
חיפה,בית אל,ספרד,"התשעה 3
"
חיפה,בית הכנסת האשכנזי רמות רמז,ספרד,"ברנר  13
"
חמד,משכנות דן ,עדות המזרח,"שדרות העומר 107
"
חצור הגלילית,קול יעקב של העדה הפרסית,עדות המזרח,"לוי אשכול 20
"
חשמונאים,אהל מינה,עדות המזרח,"התאנה 5
"
טבעון קרית טבעון,יהודה הנשיא,ספרד,"מורדכי 120
"
טבריה,אוהל יוסף,עדות המזרח,"שיכון ג 539
"
טבריה,אור ישראל,עדות המזרח,"שכון ג´ 535
"
טבריה,היכל דוד,עדות המזרח,"שזר  1112
"
טבריה,היכל רחמים,ספרד,"השלום 16
"
טבריה,יד בנימין,תוניס,"הגליל 72
"
טירת הכרמל,גואטה- הכולל,עדות המזרח,"רמבם 18
"
טירת הכרמל,משכן אלירן,מרוקו,"ירושלים 1
"
טירת הכרמל,עש חכם ברזני,ספרד,"הרב קוק 1
"
טירת הכרמל,שיר למעלות,ספרד," הרב זרביב 23
"
טירת הכרמל,שמן למאור,ספרד,"הרב ויינריב 31
"
יבנה,אוהל אברהם,עדות המזרח,"התבור 2
"
יבנה,אוהל אברהם ומשכן שמעון,עדות המזרח,"התבור  2
"
יבנה,באבא סאלי,ספרד,"החרוב 17
"
יבנה,דוד המלך,מרוקו,"הגלבוע 19
"
יבנה,חבד יבנה ,ספרד,"הזמיר 1
"
יבנה,חבקוק הנביא,ספרד,"הדקל 6
"
יד בנימין,בית הכנסת המרכזי,ספרד,"צופית 5
"
יד בנימין,שירת קטיף,עדות המזרח,"שחף 91
"
יהוד,היכל אלעזר,ספרד,"יהודה לוי 46
"
יהוד,אור אבנר,עדות המזרח,"משה דיין 11
"
יהוד,אור לשבים,ספרד,"ויצמן 83
"
יהוד,בית אל,ספרד,"הרצל  23
"
יהוד,בית הכנסת מאיר,תימן,"בן  צבי ישי 1
"
יהוד,הראל,תימן,"נורדאו 9
"
יהוד,וינס,עדות המזרח,"וינס 1
"
יהוד,ישורון,תימן,"קדושי מצרים  17
"
יהוד,עולי בוכרה,עדות המזרח,"בן צבי  1
"
יכיני,של זכריה רצון,תימן," 70
"
יפו,(אהבה ואחוה (חזון נחום,עדות המזרח,"מגן אברהם 12
"
יפו,אוהל אברהם,מרוקו,"רוסלאן 30
"
יפו,אוהל אברהם שמואל,עדות המזרח,"אייזיק חריף 23
"
יפו,בית אל,תימן בלדי,"בת עין  2
"
יפו,בית הכנסת המרכזי זכרון קדושים,ספרד,"יפת 254
"
יפו,בית הכנסת העתיק ביפו העתיקה,יוצאי לוב (טריפוליטאים),"דגים 2
"
יפו,זכרון משה,מרוקו,"מיכאל אנג´לו 31
"
יפו,עולי לוב,עדות המזרח,"חיננית 1
"
יציץ,אוהל יעקב,יוצאי לוב (טריפוליטאים),"התאנה 5
"
יקנעם,אחוות אחים,עדות המזרח,"המיצר 1
"
יקנעם עילית,יחד שבטי ישראל,מרוקו,"אכזיב 17
"
יקנעם עילית,מורשת אבות,תימן בלדי,"הצאלים 74
"
יקנעם עילית,נתיב מאיר,מרוקו,"האקליפטוס 15
"
ירושלים, בית אהרון,ספרד,"דרך החורש 90 רמות ב
"
ירושלים,אהבה ואחוה,תימן בלדי,"שאולזון 18
"
ירושלים,פאתי מזרח,ספרד,"דוד פדרמן 14
"
ירושלים,אביר יעקב,מרוקו,"שמואל נתן  4
"
ירושלים,אדר יהודה,מרוקו,"רינה ניקובה 5
"
כפר יונה,״נווה אליהו״ ע״ש הרה״חג אליהו רבינא זצ״ל,ספרד,"העליה  35
"
כפר יונה,קדושי אפריים,תימן שאמי,"קדושי 3454
"
כפר סבא,אהבת שלום,עדות המזרח,"דניאל 3
"
כפר סבא,אוהל יעקב ולאה,עדות המזרח,"הכרמל 70
"
כפר סבא,אוהל ישראל,תימן שאמי,"כנפי נשרים 20
"
כפר סבא,אוהל משה,ספרד,"ויצמן 122
"
כפר סבא,אלי כהן,מרוקו,"ויצמן 181
"
כפר סבא,בית אל,תימן בלדי,"הרב קוק - מעלה ליובאוויש 16
"
כפר סבא,בית הלל,עדות המזרח,"חביבה רייך 7
"
כפר סבא,בית יעקב,תימן שאמי,"בורוכוב 23
"
כפר סבא,בית עזרא,ספרד,"משה דיין 9
"
כרמיאל,אור-הרשש,עדות המזרח,"משעול חצב  34
"
כרמיאל,אנרטק,עדות המזרח,"הנפח 8
"
כרמיאל,בן איש חי,עדות המזרח,"הפרחים  52
"
כרמיאל,הדר בן ציון,עדות המזרח,"בירנית 1
"
כרמיאל,ירונו אחים,עדות המזרח,"ביכורים 27
"
כרמיאל,משכן חי,ספרד,"אסיף    48
"
כרמיאל,עץ חיים,מרוקו,"מצפה נוף 17 17
"
לוד,תפארת אהרון,עדות המזרח,"אלי כהן 22
"
לוד,אור החיים,עדות המזרח,"שד' שוורץ 1 לוד בתוך מפעל קרגל /במקלט אזהת הצפוני
"
לוד,אשכול הכופר,עדות המזרח,"כצנלסון 4
"
לוד,ביהכ עש חיים חטב והנופלים במלחמת יוכ,מרוקו,"שכונת רמט 6
"
לוד,בית אהרון,עדות המזרח,"אלפעל 3
"
לוד,בית ברוך,תוניס,"זבוטנסקי 5
"
לוד,גבריאל המלאך,ספרד,"שלמה המלך 42
"
מבשרת ירושלים,כל ישראל חברים,ספרד,"שדרות החושן 39
"
מבשרת ירושלים,מורשת הראה,ספרד,"הברוש 70
"
מבשרת ציון,אחדות ישראל,עדות המזרח,"הראשונים 8
"
מבשרת ציון,בית הכנסת המרכזי חזון יחזקאל,עדות המזרח,"חרמון 1
"
מבשרת ציון,כל ישראל חברים,ספרד,"שדרות החושן  39
"
מבשרת ציון,כתר ציון,עדות המזרח,"האילנות 4
"
מבשרת ציון,עמדי אריאל,עדות המזרח," מצפה הבירה 41
"
מבשרת ציון,קרית חינוך,ספרד,"האורן  50
"
מגדל העמק,אוהל יצחק הרב מימון,תוניס,"הרב בוסקילה 3
"
מגדל העמק,האשכנזי המרכזי,ספרד," קדש 30
"
מגדל העמק,נר יוסף,מרוקו," הנגב 4
"
מגדל העמק,עולי בבל,עדות המזרח,"שלום עליכם 18
"
מגדל העמק,רבי דוד ומשה,מרוקו," קדש 5
"
מגדל העמק,שער שמעון אטיאס,מרוקו,"השוהם 8
"
מגדל העמק,תורת אבות,עדות המזרח,"אביב  4
"
מודיעין,אוהל רחל,מרוקו,"אבני החושן  24
"
מודיעין,אחדות,ספרד,"אסתר המלכה 27
"
מודיעין,אמלל שיר,תימן,"תכלת 11 אבני חן
"
מודיעין,בית הכנסת קיפודן ספרדי,ספרד,"קיפודן 21 21
"
מודיעין,בן פורת יוסף,עדות המזרח,"עמק האלה 40
"
מודיעין,דביר מודיעין,עדות המזרח,"נחל פארן 31
"
מודיעין,היכל נחום,תימן בלדי,"נחל זוהר  24
"
מודיעין,היכל שמואל,עדות המזרח,"נחל תנינים 8
"
מודיעין,ובחרת בחיים,עדות המזרח,"מיכה 1
"
מודיעין עילית,אור יוסף,תימן," יהודה  הנשיא 51
"
מודיעין עילית,בן איש חי,עדות המזרח,"חתם סופר  10
"
מודיעין עילית,קהל חסידים,ספרד,"נתיבות שלום 6
"
מטע,כדורי,ספרד,"כליל החורש 38
"
מעלה אדומים,אהבת ישראל,מרוקו,"הדקל 1
"
מעלה אדומים,המרכזי,מרוקו,"הנחלים 94
"
מעלות תרשיחא,אליהו ומיכאל ,מרוקו,"הרצל  1
"
מעלות תרשיחא,אוהל אברהם,עדות המזרח,"האיריס 18
"
מעלות תרשיחא,החידא,עדות המזרח,"קורנית 25
"
מעלות תרשיחא,יגאל ישראל - שכונת הזיתים,עדות המזרח,"דולב 2
"
מצפה רמון,אחות דניאל ,עדות המזרח,"נחל רעף 8
"
נהריה,אביר יעקב,ספרד,"שכונת ממשלתי
"
נהריה,אברהם אבינו,ספרד,"השקד 29 - מול מגרשי ספורט
"
נהריה,אברהם אבינו,ספרד,"שפרינצק 42 (בתוך הפארק)
"
נהריה,אהבת שלום,ספרד,"קיבוץ גלויות 65
"
נהריה,אוהל חיים,עדות המזרח,"נחמיה 10
"
נהריה,אוצר התורה,ספרד,"החלוץ 34
"
נהריה,אור חדש,ספרד,"יהודה המכבי 12
"
נהריה,אלי כהן,ספרד,"קיבוץ גלויות 51
"
נהריה,אמת,תוניס,"יהודה המכבי 22
"
נהריה,בית יעקב,ספרד,"אחד העם 6
"
נהריה,בית יעקב הפועל המזרחי,עדות המזרח,"המייסדים 24
"
נהריה,בית מאיר,מרוקו,"הרצל 8
"
נהריה,ברכת אסתר,עדות המזרח,"המייסדים 31
"
נוה דניאל,מרכז רוחני ספרדי,עדות המזרח,"המוריה 200
"
נוף אילון,זכור לאברהם שלב א,ספרד,"החשן 40
"
נופים,נופים,עדות המזרח,"מרכז 1
"
נחלים,ישיבת נחלים,ספרד,"דן 54
"
ניר עציון,המרכזי,ספרד,"הכיכר 1
"
נירית,נירית,ספרד,"מירון 137
"
נס ציונה,בן איש חי,ספרד,"מכבי 4
"
נס ציונה,בן פורת יוסף,ספרד,"השיטת 20
"
נס ציונה,דרכי נועם,ספרד,"אהרון בוקסר 1
"
נס ציונה,הגדול אנשי יושר,ספרד,"נחשון  7
"
נס ציונה,חסידים,עדות המזרח,"גאולה  13
"
נס ציונה,שבזי,תימן,"העצמאות 32
"
נס ציונה,שכונת הפרוגרסיבים,ספרד,"בן גוריון  51
"
נצרת עילית,אורות עילית,מרוקו,"השקמה  1
"
נצרת עילית,בית הכנסת הספרדי המרכזי ברית שלום,מרוקו,"העליה 2
"
נצרת עילית,ברבירו,מרוקו,"תבור 421
"
נצרת עילית,עץ חיים,מרוקו,"הגפן  7
"
נצרת עילית,שומר ישראל,עדות המזרח,"המלאכה 1
"
נשר,אור יצחק,ספרד,"האלון 7
"
נשר,גבעת נשר,מרוקו,"החלוצים 1
"
נשר,הנוריות,ספרד,"הנוריות  13
"
נשר,יד-לאחים,מרוקו,"מעלה הגיבורים 1
"
נשר,משרדי חברת מאבל - מנחה בימות החול בלבד,עדות המזרח,"בר יהודה 52
"
נשר,רשבי,מרוקו,"הרב בר מוחא 3
"
נשר,תפילה לדוד,עדות המזרח,"עמוס 30
"
נתיבות,אור החיים,עדות המזרח,"אור לציון 4
"
נתיבות,בית יוסף כתר מרדכי,ספרד,"ירושלים 70 70
"
נתיבות,בית מדרש ברסלב,עדות המזרח,"שבטי ישראל 147
"
נתיבות,מאורות נתן,עדות המזרח,"בן גוריון 6
"
נתיבות,משכן שי חיים,עדות המזרח,"הרב צבאן 7
"
נתיבות,משכן שלמה,תוניס,"המשחררים 1
"
נתיבות,משכן ששון,עדות המזרח,"הצאלה 22
"
נתניה,הרחמן,עדות המזרח,"קהילת צפת 5
"
נתניה,´ביתא ישראל,עדות המזרח,"שיפר 8
"
נתניה,אבות ובנים,עדות המזרח,"יבנה 6
"
נתניה,אגודת אחים,ספרד,"ז'בוטינסקי 45
"
נתניה,אהבת שלום,מרוקו,"איזיק רמבה 6
"
נתניה,אהל יעקב,ספרד,"ראשון לציון  32
"
נתניה,אוהל אברהם ויוסף,תימן,"נוה שלום  18
"
נתניה,אוהל דניאל,מרוקו,"גד מכנס 28
"
נתניה,אוהל חנין,עדות המזרח,"רדק  1
"
נתניה,אוהל יצחק,ספרד,"חטיבת הראל  10
"
נתניה,אוהל משה,תימן,"חתם סופר  4
"
נתניה,אוהל עמרם,מרוקו,"שיטרית 22
"
עומר,ישראל הצעיר,ספרד,"הדס 1
"
עומר,שבטי ישראל,עדות המזרח,"ליבנה 1
"
עין הוד,נווה ציון,תימן,"פארק המדע 770
"
עכו, רז התורה ותקוות דוד,עדות המזרח,"הנדיב 1
"
עכו,אהבה ואחווה,מרוקו,"רמחל 20
"
עכו,האשכנזי המרכזי,ספרד,"ז´בוטינסקי 26
"
עכו,ישיבת ההסדר,ספרד,"דושינצקי 1
"
עכו,כולל אברכים+בית כנסת תפילה לדוד,מרוקו,"גיבורי סיני עכו 34
"
עכו,לעולי הקווקז,ספרד,"הס 11
"
עכו,מרום ציון,מרוקו,"אחד העם 19
"
עכו,על-שם שמעון לוזון,יוצאי לוב (טריפוליטאים),"יהודה הלוי 26
"
עלי,משכן עלי,ספרד,"הנורית 2
"
עלי,תפילת משה ורחל,עדות המזרח,"הורד 28
"
עפולה,בית יעקבמיוצאי טוניס,תוניס,"הקישון  1
"
עפולה,אהל ר´ יוסף,ספרד,"בציר 3
"
עפולה,אחוות אחים,תימן שאמי,"שיכון גאולים
"
עפולה,אחוות אחים,תימן שאמי,"הקישון 11
"
עפולה,בית ישראל עץ חיים,תימן בלדי,"הסוכנות היהודית  119
"
עפולה,היכל אברהם - המרכזי הספרדי,עדות המזרח,"יהושע חנקין 90
"
עפולה,היכל השבעה,עדות המזרח,"האלה 17
"
עץ אפרים,הוד והדר,ספרד,"ברוש 12
"
ערד,בית רחמים,עדות המזרח,"שמעון 42
"
ערד,השחר,ספרד,"אחווה 15
"
ערד,שובה ישראל שכונת גבים,עדות המזרח," יובל  40
"
