City,Name,Nosah,Address
מגדל העמק,חבד - ליובאוויטש - אור מנחם,חבד,"הגפן 26
"
מגדל העמק,יד הרב עש הרב רפאל בוסקילה זצל,,"חטיבת גולני 20
"
מודיעין,אשכנז בוכמן,אשכנז,"אפרים  13
"
מודיעין,בית חבד,חבד,"עמק איילון 21
"
מודיעין,ברקן,ירושלמי,"חרצית 28
"
מודיעין עילית,אהל מנחם,אשכנז,"נודע ביהודה  41
"
מודיעין עילית,אחדות ישראל,ירושלמי,"אבני נזר 55
"
מודיעין עילית,הגרא,,"ישועת דוד 14
"
מודיעין עילית,היכל יצחק,אשכנז,"חפץ חיים 10
"
מודיעין עילית,חניכי הישיבות הרב ברזל,אשכנז,"אור החיים  27
"
מודיעין עילית,יוצאי חברון,אשכנז,"שדי חמד 13
"
מודיעין עילית,יחל ישראל,אשכנז,"נתיבות המשפט 2
"
מודיעין עילית,מאה שערים,לפי החזן,"מסילת יוסף  31
"
מודיעין עילית,קהילת עדת יראים-אושטרייך,אשכנז,"נתיבות המשפט 111
"
מודיעין עילית,קהילת קצות החושן,אשכנז,"קצות החושן 11
"
מודיעין עילית,קול יעקב,ירושלמי,"נתיבות המשפט  7
"
מודיעין עילית,שיר ושבחה,אשכנז,"הסבא מסלובדקא 4
"
מודיעין עילית,תורה ותפילה,אשכנז,"רבי יהודה הנשיא 19
"
מודיעין עילית,תפארת בורדוגו,ירושלמי,"רב ושמואל 9
"
מזכרת בתיה,בית המדרש,,"שקולניק 17
"
מזכרת בתיה,בית כנסת כללי - חבד,חבד,"נתיב השיירות 46
"
מזכרת בתיה,יחד שבטי ישראל,לפי החזן,"שקולניק 13
"
מיתר,אחדות ישראל ,לפי החזן,"צאלים 1
"
מיתר,המרכזי,אחיד,"בשמת פינת צקלג 33
"
מעון,בית הכנסת המרכזי של מעון,לפי החזן,"בין השכונה העליונה לתחתונה 1
"
מעלה אדומים,אור התורה,ירושלמי,"הנחלים  54
"
מעלה אדומים,דקל וילנאי,,"דרך מדבר יהודה 13
"
מעלה אדומים,הגילגל,אחיד,"הגילגל 18
"
מעלה אדומים,היכל אביעד-עמודי השישה,ירושלמי,"התוף 36
"
מעלות תרשיחא,בני יוסף,ירושלמי,"סיגליות 36
"
מעלות תרשיחא,מאור ישראל,לפי החזן,"ירושלים  41
"
מעלות תרשיחא,מניין אשכנזי שכונת הסביונים,אשכנז,"ספיר
"
מצפה יריחו,ישא ברכה,לפי החזן,"ישא ברכה 1
"
מצפה רמון,אהל שלום - התימנים,לפי החזן,"עין עקב 8
"
מצפה רמון,עץ חיים,לפי החזן,"0528541248
"
מצפה רמון,צמח דוד,לפי החזן,"עין עופרים 18
"
נהריה,בית חבד,חבד,"רחוב יחיעם פינת דרך העצמאות
"
נהריה,בנק איגוד,לפי החזן,"הגעתון 26
"
נוה דניאל,בית מדרש דרך האבות,לפי החזן,"רחוב דרך האבות 21
"
נס ציונה,חבד - אור אברהם,חבד,"ביאליק  2
"
נס ציונה,לב המושבה,ירושלמי,"שמיד  1
"
נס ציונה,משכן משה,,"החושן 16
"
נס ציונה,ניצן,אחיד,"שדרות אפריים  4
"
נצרת עילית,מקום תורה,אשכנז,"הגבעה  3
"
נצרת עילית,אור הצפון,אשכנז,"החצב 3
"
נצרת עילית,בית יוסף חבד,חבד,"יודפת 82
"
נצרת עילית,בני הישיבות אהל יעקב,אשכנז,"הרב פנחס מילר 4
"
נצרת עילית,המרכזי - הגדול,חבד,"הגבעה 3
"
נצרת עילית,הר יונה ג,אשכנז,"הרב עובדיה יוסף  1
"
נצרת עילית,חבד מיוחד,חבד,"יזרעאל 41
"
נצרת עילית,ישיבת ההסדר נצרת עילית,לפי החזן,"כרמל 25
"
נצרת עילית,ישיבת חבד,חבד,"המלאכה 17
"
נשר,המרכזי בן-דור,אשכנז,"המתמיד 5
"
נשר,התאנה,לפי החזן,"התאנה 5
"
נשר,תהילה לדוד,לפי החזן,"רחוב עמוס 26 נשר
"
נתיבות,ישיבת ההסדר-אהבת ישראל,לפי החזן,"הרמבם 1
"
נתיבות,סעדון,ירושלמי,"אור לצוין 37
"
נתניה,.S.N.A.C,אשכנז,"צפת 5
"
נתניה,אוהל משה,ירושלמי," חתם סופר 4
"
נתניה,אוהל משיח,ירושלמי,"תשרי 1
"
נתניה,אוהל נחמיה,,"רבי עקיבא  1
"
סביון,תפארת יצחק,אשכנז,"הדרום 12
"
עומר,מגן אברהם,לפי החזן,"מרגנית  20
"
עזריאל,צור ישראל,אחיד,"הרחבה - גן חבד לשעבר 102
"
עין העמק,בית הכנסת עין העמק,ירושלמי,"עין העמק 12
"
עכו,בית חבד עכו,חבד,"דרך הארבעה 41
"
עכו,מרכז תורה עש האדמור הזקן עכו,חבד,"דוד נוי 19
"
עלי,בית הכנסת במכינה,לפי החזן,"השקד1
"
עפולה,אהל שלמה,אשכנז,"ראסל  27
"
עפולה,גאולי ה´,,"גורדון 15
"
עפולה,היכל חביב,ירושלמי,"חבצלת  1
"
עפרה,מנין הפנס,אחיד,"ההגנה 2
"
ערד,בית יום טוב ליפמן,חסידי,"חן 60
"
עתלית,בית כנסת עתלית,לפי החזן," המבצר / שחף 22
"
פרדס חנה כרכור,האוהל,לפי החזן,"תחכמוני 4
"
פרדס חנה כרכור,חבד,חבד,"המדרשיה 10
"
פרדס חנה כרכור,קול יאודה,ירושלמי,"מוריה 5 1
"
פתח תקוה,אוהל דן ליצאי איתיופיה,,"הנרייטה סולד 44
"
פתח תקוה,אבי עזרי - חניכי הישיבות,אשכנז,"ארלוזורוב 3
"
פתח תקוה,אהבת ישראל,ירושלמי,"המלכים 11
"
קדומים,שטיבל ברויאר,,"ברקת 1
"
קדימה,קהילתי בית מנחם חבד,חבד,"אברהם אביקסיס 6
"
קיסריה,המרכזי קיסריה,אחיד,"שדרות רוטשילד 101 ליד בית הספר
"
קלע,בית אל,אחיד,"קלע 1
"
קרית אונו,אור מנחם - חבד,חבד,"יהואש 10
"
קרית אונו,נשלסק,אחיד,"נחלת פינקס 13
"
קרית ארבע,יחד שבטי ישראל,,"רחוב נחל אשכול מקלט 6
"
קרית אתא,אהל פנחס,חסידי,"ירושלים 27
"
קרית אתא,בית מנחם,חבד,"חנקין 20
"
קרית ביאליק,אהבת שלום,חבד,"שושנים 10
"
קרית ביאליק,בית הכנסת לצעירים שבטי ישראל,אחיד,"השקדים 5
"
קרית ביאליק,בית מנחם,לפי החזן,"לילך 11
"
קרית ביאליק,הדרת קודש,,"שדרות בן גוריון 32
"
קרית גת,בית חבד,חבד,"אהוד בן גרא  8
"
קרית גת,הגדול קרית גת,אשכנז,"אליהו הנביא 3
"
קרית חיים,חבד,חבד,"אחי אילת  15
"
קרית ים,אשרי המאמין,,"פנקס 1
"
קרית יערים,ישיבת נוה ציון,אשכנז,"הרב א. גורדון 141
"
קרית מוצקין,חבד מנחם לציון,חבד,"שדרות קרן קיימת 8
"
קרית מלאכי,חבד- תפארת אליעזר,חבד,"התאנה 3
"
קרית מלאכי,שערי שמים,ירושלמי,"בן גוריון 40
"
קרית ספר,קהילת אשכנז,אשכנז,"חתם סופר 2
"
קרית שמואל,חבד,חבד,"בר אילן 1
"
קרית שמואל,משכנות תפילה,,"שטרן  8
"
קרית שמואל,נהריים,אשכנז,"דב פרומר  25
"
קרית שמונה,אחוות לוחמים-מלון הצפון,ירושלמי,"טשרניחובסקי-מול אגד 1
"
קרית שמונה,בית חבד,לפי החזן,"הלבנון 14
"
קרית שמונה,בן ציון,אשכנז,"אורי אילן 21
"
קרית שמונה,ישורון,ירושלמי,"הרצל 14
"
ראש העין,אדמון ספרא,אחיד,"עין גדי 24
"
ראש העין,אפיריון שלמה,לפי החזן,"חוגלה 11
"
ראש העין,הודו,לפי החזן,"גון קנדי 25
"
ראש העין,זכור לאברהם,אשכנז,"משה דיין 2
"
ראשון לציון,אור החיים,צפון אפריקה,"הסביון  4
"
ראשון לציון,אחדות ראשונים,אחיד,"שרירא  21
"
ראשון לציון,איחוד שיבת ציון,אשכנז,"כצנלסון 1
"
ראשון לציון,איחוד שיבת ציון - נווה שמואל,אשכנז,"קפלן 4
"
רבבה ישוב,רבבות אפרים,לפי החזן,"נחל שילה 323
"
רחובות,אהבה ואחוה,ירושלמי,"דרך יבנה 32
"
רחובות,אהל שרה,אשכנז,"בינימין 45
"
רחובות,אוהל יצחק,אחיד,"לחי 36
"
רחובות,אוהל שי,אשכנז,"מלצר 9
"
רחלים,בית נחמיה,לפי החזן,"רחלים 10
"
רכסים,אור לציון,ירושלמי,"הוורדים 7
"
רכסים,חניכי הישיבות - אוהל מלכה,אשכנז,"חצב 3
"
רכסים,מאורות,אשכנז,"דרך הרב 2
"
רכסים,שארית הפליטה,אשכנז,"הכלניות 20
"
רכסים,שבת אחים,אשכנז,"הוורדים 7
"
רמלה,אוהל יעקב,,"הלילך  3
"
רמלה,חיזוק אמונה,,"בן צבי  8
"
רמת אביב,הקהילה החדשה של רמת אביב,אשכנז,"דניאל מוריץ 12
"
רמת אביב,חבד,חבד,"טאגור 32
"
רמת אביב,נוה קדש,אשכנז,"אופנהיימר (שכונת נווה אביבים) 5
"
רמת בית שמש,אהבת שלום,אשכנז,"נחל לכיש 33
"
רמת בית שמש,אור שלום,אשכנז,"נחל מאור 27
"
רמת בית שמש,בית תפילה יונה אברהם,אשכנז,"נחל רפאים 34
"
רמת בית שמש,משכן שילה,אשכנז,"נחל עין גדי 37
"
רמת בית שמש,פני שמואל,אשכנז,"נחל לוז  3
"
רמת בית שמש,קהילת אהבת ציון,אשכנז,"נחל תמנה 2
"
רמת בית שמש,קהילת טוהר לב ברמה,לפי החזן,"נחל קטלב 1
"
רמת בית שמש,קהילת שבטי ישרון,אשכנז,"נחל דולב 2
"
רמת בית שמש,רמת שלום,אשכנז,"נחל דולב 43
"
רמת גן,נוסח אשכנז,אשכנז,"         ההלכה    9
"
רמת גן,אגודת אלימלך,אחיד,"אלימלך 7
"
רמת גן,אהל לאה,אחיד,"הפודים  49
"
רמת השרון,בית אל,,"אלחריזי 4
"
רמת השרון,גאולת ישראל,אשכנז,"רבנו תם 4
"
רמת השרון,היכל יוסף,אשכנז,"יצחק אלחנן 7
"
רמת השרון,חבד.,חבד,"בית גוברין 7
"
רמת השרון,מניין ישראל,אחיד,"הבנים 46
"
רמת השרון,רבנו תם,אשכנז,"רבנו תם 4
"
רמת ישי,זכות השתיקה,לפי החזן,"האלון 111
"
רעננה,אדמון ספרא - קהילת אחוות רעים,אחיד,"הסייפן לב הפארק 10
"
רעננה,אריאל,לפי החזן,"ששת הימים 33
"
רעננה,בית חבד ליובאוויטש רעננה,חבד,"ברנר 1 פינת אחוזה 85
"
רעננה,בית חבד,חבד,"אחוזה 153
"
רעננה,בית משיח - מרכז חבד,חבד,"אחוזה  83
"
שדמות מחולה,שדמות מחולה,לפי החזן,"שדמות מחולה 0
"
שדרות,אלקא דמאיר,לפי החזן,"רמבם 402
"
שדרות,בין איש חי,ירושלמי,"ברנר 3
"
שדרות,חבד,חבד,"חטיבת גבעתי 11
"
שדרות,חנכי הישיבות,ירושלמי,"השיטה  10
"
שדרות,ישיבת הסדר- לב לדעת,לפי החזן,"חטיבת גבעתי 35
"
שוהם,חבד,חבד,"עמק אילון 28
"
שפים,מנין למנחה בחוצות שפיים,לפי החזן,"חוצות שפיים קומה 4
"
שפיר,מרכזי שפיר,אחיד,"החקלאי 20
"
תל אביב, עזריאלי שרונה,לפי החזן,"מנחם בגין 121
"
תל אביב,'סי אנד סאן' עש משה אביב זל,לפי החזן,"הרצל רוזנבלום 6
"
תל אביב,אדמורים מהוסיאטין,לפי החזן,"ביאליק 19
"
תל אביב,אוהל יצחק,חבד,"חומה ומגדל 16
"
תל אביב,אוהל ישראל,ירושלמי,"בן יהודה  159
"
תל אביב,אוהל מועד,חסידי,"שדייל 5
"
תל יוסף,בית הכנסת של תל יוסף,אחיד,"רבי נחמן מברסלב 1
"
תל מונד,בית כנסת,,"צופית 17
"
תל ציון,בני הישיבות,ירושלמי,"אהבת ישראל 11
"
